state,date,co2_per_capita,prcp,snow,tavg,gdp_per_capita,eprod_per_capita,euse_per_capita,eflow_per_capita,monthly_num_plants,monthly_renew_pct,monthly_fossil_pct,monthly_coal_pct,republican_vote_pct,monthly_pop_density,avg_facility_age,avg_weighted_facility_age
NY,2009-10-01,0.12882716936615926,5.87,0.0,55.7,0.006110996442701328,0.00297042994401639,0.015234465503838527,-0.012264035559822138,73.0,0.2200553162029555,0.4375397557683383,0.1029042030029841,,0.0028159980601878683,123.34246575342466,6690007.130273973
NY,2009-11-01,0.12583412956879386,1.41,0.0,51.0,0.0061267164056780276,0.002953996170836244,0.015159690304678343,-0.012205694133842098,72.0,0.222227153684304,0.4335326614882577,0.0993793765977437,,0.0028146244666637558,124.91666666666667,6810552.827916667
NY,2009-12-01,0.17016865306286863,6.25,16.2,36.2,0.006142421040297662,0.002937578422041368,0.015084988017964188,-0.012147409595922818,76.0,0.2244184871936315,0.4294895965506714,0.0958229087300052,,0.0028132522125150603,125.09210526315789,8178256.92118421
NY,2010-01-01,0.18330816887261772,1.67,1.4,32.1,0.006158110368969067,0.0029295910974292505,0.015144154103517698,-0.012214563006088447,75.0,0.2227521243733704,0.4330358113973496,0.0961093078676408,,0.002811881295783725,124.56,8560369.302933333
NY,2010-02-01,0.1676262395014468,6.02,29.7,33.1,0.006158236169109416,0.002921611553579564,0.01520326255309447,-0.012281650999514906,69.0,0.2210936730618328,0.4365651896287637,0.0963943472478164,,0.002810511714515504,124.56521739130434,8764488.829565218
NY,2010-03-01,0.1439210535027995,8.63,0.0,47.1,0.006158361846762629,0.002913639779128527,0.015262313450871642,-0.012348673671743115,73.0,0.2194430770494088,0.4400778508655334,0.0966780365313236,,0.002809143466759956,125.42465753424658,7044081.114246575
NY,2010-04-01,0.12216943042021312,3.38,0.0,55.4,0.006158487402107517,0.0029056757627344827,0.015321306880862546,-0.012415631118128063,69.0,0.2178002806577073,0.443573913597783,0.0969603852876529,,0.002807776550570439,126.95652173913044,6919192.398695652
NY,2010-05-01,0.1498107919016004,1.98,0.0,63.9,0.006158612835322537,0.002897719493077835,0.015380242926917061,-0.012482523433839227,76.0,0.2161652287332948,0.4470534951984651,0.0972414029960699,,0.002806410964004099,123.53947368421052,7934293.827368421
NY,2010-06-01,0.20946106795993524,1.36,0.0,74.5,0.006158738146585793,0.002889770958860997,0.015439121672721996,-0.012549350713860999,87.0,0.2145378666415235,0.4505167119364958,0.0975210990466761,,0.002805046705121853,123.62068965517241,9958380.344137931
NY,2010-07-01,0.286442242784326,2.44,0.0,80.7,0.006157054649149195,0.0028809838354176614,0.015493391886775178,-0.012612408051357516,87.0,0.2129181402604457,0.4539636789897058,0.0977994827414549,,0.0028028604080158675,124.93103448275862,14173078.522528736
NY,2010-08-01,0.2557646344718682,3.12,0.0,76.2,0.006155373773957039,0.002872210398948322,0.015547577568613299,-0.012675367169664976,86.0,0.211305995974814,0.4573945104576083,0.0980765632953025,,0.002800677516323704,126.15116279069767,12677331.557790698
NY,2010-09-01,0.20761766038989718,4.38,0.0,70.4,0.006153695514887419,0.00286345061749927,0.015601678915585912,-0.012738228298086641,87.0,0.2097013806701648,0.4608093193739896,0.0983523498370452,,0.00279849802209506,126.20689655172414,9851802.625517242
NY,2010-10-01,0.14217594312063062,4.43,0.0,58.5,0.006152019865837464,0.0028547044592161816,0.01565569612442872,-0.01280099166521254,75.0,0.2081042417269857,0.4642082177193223,0.0986268514104414,,0.0027963219174043596,130.76,7654465.0682666665
NY,2010-11-01,0.1406188895393705,1.95,0.0,47.8,0.006150346820723267,0.0028459718923437324,0.01570962939126598,-0.01286365749892225,67.0,0.2065145270149634,0.4675913164330063,0.0989000769751707,,0.0027941491943506568,135.88059701492537,8615464.744626865
NY,2010-12-01,0.181022651246635,3.13,15.8,33.0,0.006148676373479825,0.0028372528852252236,0.01576347891161288,-0.012926226026387657,69.0,0.2049321848873116,0.4709587254254391,0.0991720354078083,3.61,0.0027919798450575474,133.2608695652174,10478153.82
NY,2011-01-01,0.17986968432485834,3.56,22.1,29.1,0.00614700851806095,0.002842598901085051,0.015704792734341992,-0.012862193833256944,74.0,0.2065485215590021,0.4689349696337851,0.0966124879612787,,0.0027898138616730657,134.01351351351352,9771141.387297297
NY,2011-02-01,0.15376725905371297,3.19,2.8,34.9,0.006162120364432087,0.002847936628629065,0.015646197542504698,-0.012798260913875628,68.0,0.2081638386586105,0.4669124904108942,0.0940545550565489,,0.0027876512363695922,134.22058823529412,9074494.731029412
NY,2011-03-01,0.15130896201294605,4.56,1.3,42.2,0.006177208799960407,0.002853266087117303,0.015587693124672926,-0.012734427037555623,73.0,0.2097781371505396,0.4648912865492737,0.0914982351664408,,0.0027854919613437635,136.1095890410959,8667991.571917808
NY,2011-04-01,0.12605715564568357,4.3,0.0,52.0,0.006192273879004923,0.0028585872957501714,0.015529279270073184,-0.012670691974323016,67.0,0.2113914179979757,0.4628713568429526,0.0889435267657016,,0.002783336028816372,135.23880597014926,8004161.1807462685
NY,2011-05-01,0.13553267604201885,3.16,0.0,62.9,0.006207315655756481,0.002863900273668676,0.015470955768584004,-0.012607055494915325,76.0,0.2130036821628917,0.4608527000874806,0.0863904283310011,,0.0027811834310322754,131.31578947368422,7820536.300921053
NY,2011-06-01,0.18053167639809015,2.09,0.0,72.1,0.006222334184238423,0.002869205039954664,0.015412722410733444,-0.01254351737077878,86.0,0.2146149306060481,0.4588353150799246,0.0838389383409283,,0.0027790341602603064,133.63953488372093,9334209.613953488
NY,2011-07-01,0.2520951275774635,2.7,0.0,79.8,0.006237999883508555,0.0028748105544762,0.01535622924128736,-0.012481418686811161,86.0,0.2162251642869953,0.4568192006188667,0.0812890552759887,,0.0027771866585091496,134.63953488372093,13460710.098255815
NY,2011-08-01,0.2089307295791876,17.24,0.0,75.5,0.00625364476750472,0.002880408620857791,0.015299811135250781,-0.01241940251439299,79.0,0.2178343841640755,0.4548043555044019,0.078740777618601,,0.0027753416115641567,135.78481012658227,11814963.46329114
NY,2011-09-01,0.15882514861767102,4.22,0.0,69.8,0.006269268877685769,0.002885999253934281,0.015243467943116025,-0.012357468689181745,76.0,0.2194425911944242,0.4527907785381357,0.0761941038530945,,0.0027734990145359606,135.94736842105263,9364654.8375
NY,2011-10-01,0.13390170660580308,4.41,1.5,58.0,0.006284872255400533,0.0028915824685011447,0.015187199515772215,-0.012295617047271072,70.0,0.2210497863339731,0.4507784685231817,0.0736490324657054,,0.002771658862548175,140.24285714285713,8859495.748428572
NY,2011-11-01,0.1073261677745203,3.24,0.0,50.8,0.006300454941888177,0.0028971582793146187,0.015131005704503939,-0.012233847425189319,65.0,0.2226559705374506,0.448767424264159,0.0711055619445748,,0.0027698211507373454,142.8153846153846,7524611.653538462
NY,2011-12-01,0.12198399888213513,3.12,0.0,42.5,0.006316016978278559,0.002902726701091824,0.015074886360989904,-0.01217215965989808,67.0,0.2242611447583849,0.4467576445671903,0.0685636907797446,,0.002767985874252904,143.6417910447761,7838582.724179104
NY,2012-01-01,0.1407386491648888,2.19,1.6,37.2,0.006331558405592612,0.002887136431527974,0.015013731761377555,-0.012126595329849582,68.0,0.2225920465021037,0.449147179580512,0.065676808130881,,0.0027661530282571353,144.91176470588235,9136596.792647058
NY,2012-02-01,0.12172020702996039,1.26,0.6,40.4,0.006329320208147476,0.002871566794767951,0.014952658096277062,-0.012081091301509111,64.0,0.2209194767050657,0.4515416845637904,0.0627839210836915,,0.002764322607925126,146.515625,8613041.59046875
NY,2012-03-01,0.10416739474901882,1.13,0.0,48.5,0.006327084970866071,0.002856017749879385,0.014891665205126572,-0.012035647455247185,72.0,0.2192434245253616,0.4539411750386533,0.0598850108859429,,0.002762494608444724,147.33333333333334,7275859.304583333
NY,2012-04-01,0.10581174843773668,2.97,0.0,54.1,0.006324852687879765,0.0028404892560381146,0.014830752927788675,-0.01199026367175056,71.0,0.2175638790758882,0.4563456665914296,0.0569800587072343,,0.002760669025016501,147.32394366197184,7976746.758450705
NY,2012-05-01,0.13581423067302295,7.09,0.0,64.0,0.0063226233533354255,0.0028249812725278144,0.01476992110454898,-0.011944939832021167,78.0,0.2158808294241125,0.458755174873487,0.0540690456385891,,0.0027588458528537054,141.19230769230768,8677685.728461538
NY,2012-06-01,0.16854900621581997,6.88,0.0,70.8,0.0063203969613953625,0.0028094937587396468,0.014709169576114713,-0.011899675817375067,85.0,0.2141942645918346,0.4611697156015709,0.0511519526920451,,0.0027570250871822195,145.05882352941177,10131238.563882353
NY,2012-07-01,0.25487106397848835,1.54,0.0,78.4,0.006318773798056593,0.002794292135598973,0.014649889942420842,-0.01185559780682187,85.0,0.2125041735549491,0.4635893045581473,0.0482287608002416,,0.002755468496370812,146.41176470588235,15492948.906352941
NY,2012-08-01,0.21521087671955724,4.03,0.0,76.7,0.006317152466529551,0.0027791076681634103,0.014590677208419552,-0.01181156954025614,80.0,0.2108105452432049,0.4660139575917456,0.0452994508160037,,0.0027539136622410877,145.9625,13807928.195375001
NY,2012-09-01,0.14569646972556197,4.06,0.0,69.2,0.006315532963715068,0.00276394032740788,0.014531531260925814,-0.011767590933517933,79.0,0.2091133685399633,0.4684436906173048,0.0423640035119243,,0.0027523605818209856,146.43037974683546,9513758.53443038
NY,2012-10-01,0.13856589062173089,2.23,0.0,59.1,0.006313915286520961,0.002748790084372739,0.014472451987009772,-0.011723661902637036,69.0,0.2074126322819546,0.4708785196165226,0.0394223995799439,,0.0027508092521451436,152.3913043478261,10460814.317536231
NY,2012-11-01,0.14636619758613403,1.56,4.3,43.6,0.006312299431862005,0.0027336569101635948,0.01441343927399604,-0.011679782363832445,68.0,0.2057083252590342,0.4733184606382046,0.0364746196309266,,0.0027492596702548802,153.85294117647058,11606257.527941177
NY,2012-12-01,0.1337660432954646,4.94,0.4,41.7,0.006310685396659938,0.0027185407759511312,0.014354493009462973,-0.011635952233511842,68.0,0.2040004362139352,0.4757635297986177,0.0335206441942344,2.36,0.0027477118331981796,155.16176470588235,9874092.79147059
NY,2013-01-01,0.1544705597043696,2.39,1.1,35.1,0.006309073177843417,0.0027350811623115478,0.014391279029570147,-0.011656197867258598,76.0,0.2044986735050978,0.4728789862216166,0.0336031085116489,,0.002746165738029669,157.1184210526316,10374792.605
NY,2013-02-01,0.1517136213262548,2.74,7.4,34.0,0.006317266491066879,0.0027516029450981227,0.014428023675103199,-0.011676420730005079,68.0,0.2049966976827825,0.4699956764645738,0.0336855375561969,,0.0027446213818105992,157.25,11618688.501911765
NY,2013-03-01,0.14824101885926444,2.32,4.4,40.0,0.006325450594152594,0.002768106155679392,0.014464727015826143,-0.01169662086014675,72.0,0.2054945088836942,0.4671135997360369,0.0337679313505046,,0.0027430787616088315,159.0,10409743.357083334
NY,2013-04-01,0.10544863733615088,1.79,0.0,50.6,0.006333625502621569,0.002784590825353405,0.014501389121346216,-0.011716798295992809,71.0,0.2059921072444208,0.4642327552452301,0.033850289917179,,0.0027415378744988133,158.5211267605634,7724065.616478873
NY,2013-05-01,0.13250309349082684,4.04,0.0,59.9,0.006341791231959952,0.002801056985347924,0.014538010061114336,-0.01173695307576641,79.0,0.2064894929014336,0.4613531422020539,0.0339326132788079,,0.002739998717561561,154.84810126582278,8811592.077974683
NY,2013-06-01,0.15033767135428233,7.96,0.0,70.4,0.006349947797619146,0.002817504666820627,0.014574589904425565,-0.011757085237604938,81.0,0.2069866659910871,0.4584747598170836,0.0340149014579594,,0.002738461287884645,155.33333333333334,10226668.525925927
NY,2013-07-01,0.23782894451375414,2.27,0.0,79.5,0.006358765662537836,0.0028342327331191118,0.014612669432647352,-0.011778436699528242,84.0,0.2074836266496193,0.4555976073015696,0.0340971544771826,,0.0027372141855026007,156.89285714285714,15819348.184761904
NY,2013-08-01,0.15362281472543046,2.73,0.0,74.4,0.006367575499755197,0.002850945570343289,0.014650714293624611,-0.011799768723281324,81.0,0.2079803750131519,0.4527216838674361,0.0341793723590074,,0.0027359682184708418,156.37037037037038,10513143.180864198
NY,2013-09-01,0.1186975864691861,1.93,0.0,67.1,0.006376377320228754,0.002867643199280306,0.014688724534676902,-0.011821081335396595,82.0,0.2084769112176902,0.4498469887272803,0.0342615551259442,,0.002734723385239655,158.67073170731706,7837422.468292682
NY,2013-10-01,0.10014816257728572,0.33,0.0,60.0,0.006385171134896106,0.0028843256406794948,0.014726700203037702,-0.011842374562358208,73.0,0.2089732353991235,0.4469735210943719,0.0343437028004844,,0.002733479684262147,165.0958904109589,7845406.747123287
NY,2013-11-01,0.10712540846725423,2.54,0.2,45.3,0.0063939569546749555,0.0029009929152524596,0.01476464134585461,-0.011863648430602154,68.0,0.2094693476932249,0.4441012801826525,0.0344258154051001,,0.0027322371139942366,165.5,9065855.507941175
NY,2013-12-01,0.1485718692405789,4.5,6.7,38.1,0.00640273479046317,0.0029176450436731623,0.014802548010189534,-0.01188490296651637,71.0,0.2099652482356517,0.4412302652067346,0.0345078929622442,,0.002730995672894649,165.88732394366198,11801476.05169014
