state,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
New Mexico,"1,521,574","1,555,305","1,595,442","1,636,453","1,682,398","1,720,394","1,752,326","1,774,839","1,793,484","1,808,082","1,821,204","1,831,690","1,855,309","1,877,574","1,903,808","1,932,274","1,962,137","1,990,070","2,010,662","2,036,802","2,064,898","2,082,130","2,090,282","2,096,538","2,095,081","2,096,056","2,099,682","2,101,111","2,103,161","2,110,180","2,117,522"
New York,"18,020,784","18,122,510","18,246,653","18,374,954","18,459,470","18,524,104","18,588,460","18,656,546","18,755,906","18,882,725","19,001,780","19,082,838","19,137,800","19,175,939","19,171,567","19,132,610","19,104,631","19,132,335","19,212,436","19,307,066","19,420,354","19,602,134","19,758,616","19,892,558","20,001,317","20,087,023","20,148,134","20,187,407","20,219,472","20,220,321","20,201,205"
North Carolina,"6,664,016","6,784,280","6,897,214","7,042,818","7,187,398","7,344,674","7,500,670","7,656,825","7,809,121","7,949,361","8,081,614","8,210,122","8,326,201","8,422,501","8,553,152","8,705,407","8,917,270","9,118,037","9,309,449","9,449,566","9,571,037","9,641,131","9,719,755","9,800,429","9,876,774","9,962,464","10,072,775","10,172,498","10,273,864","10,369,657","10,439,434"
North Dakota,"637,685","635,753","638,223","641,216","644,804","647,832","650,382","649,716","647,532","644,259","642,023","639,062","638,168","638,817","644,705","646,089","649,422","652,822","657,569","664,968","675,097","687,257","705,347","727,655","744,628","762,814","764,781","766,807","771,499","776,548","779,091"
Ohio,"10,864,162","10,945,762","11,029,431","11,101,140","11,152,454","11,202,751","11,242,827","11,277,357","11,311,536","11,335,454","11,363,543","11,387,404","11,407,889","11,434,788","11,452,251","11,463,320","11,481,213","11,500,468","11,515,391","11,528,896","11,541,932","11,558,178","11,573,400","11,612,081","11,648,921","11,674,622","11,702,354","11,737,959","11,763,104","11,788,679","11,799,530"
Oklahoma,"3,148,825","3,175,440","3,220,517","3,252,285","3,280,940","3,308,208","3,340,129","3,372,917","3,405,194","3,437,147","3,454,365","3,467,100","3,489,080","3,504,892","3,525,233","3,548,597","3,594,090","3,634,349","3,668,976","3,717,572","3,759,558","3,786,536","3,815,196","3,847,936","3,871,400","3,900,900","3,916,688","3,920,316","3,928,371","3,943,727","3,959,353"
Oregon,"2,860,375","2,928,507","2,991,755","3,060,367","3,121,264","3,184,369","3,247,111","3,304,310","3,352,449","3,393,941","3,429,708","3,467,937","3,513,424","3,547,376","3,569,463","3,613,202","3,670,883","3,722,417","3,768,748","3,808,600","3,837,609","3,872,651","3,900,064","3,924,055","3,965,375","4,018,453","4,093,165","4,147,171","4,183,398","4,215,959","4,237,238"
Pennsylvania,"11,903,299","11,982,164","12,049,450","12,119,724","12,166,050","12,198,403","12,220,464","12,227,814","12,245,672","12,263,805","12,284,173","12,298,970","12,331,031","12,374,658","12,410,722","12,449,990","12,510,809","12,563,937","12,612,285","12,666,858","12,716,596","12,773,059","12,816,003","12,847,236","12,880,907","12,899,169","12,918,673","12,945,701","12,980,946","12,991,539","13,002,744"
Rhode Island,"1,005,995","1,010,649","1,012,581","1,015,112","1,015,960","1,017,002","1,020,893","1,025,353","1,031,155","1,040,402","1,050,268","1,057,142","1,065,995","1,071,342","1,074,579","1,067,916","1,063,096","1,057,315","1,055,003","1,053,646","1,054,975","1,058,746","1,063,756","1,068,358","1,073,245","1,077,555","1,082,431","1,085,105","1,091,824","1,094,580","1,097,391"
South Carolina,"3,501,155","3,570,404","3,620,464","3,663,314","3,705,397","3,748,582","3,796,200","3,859,696","3,919,235","3,974,682","4,024,223","4,064,995","4,107,795","4,150,297","4,210,921","4,270,150","4,357,847","4,444,110","4,528,996","4,589,872","4,633,669","4,661,744","4,699,358","4,738,067","4,789,723","4,850,136","4,908,404","4,963,742","5,019,607","5,076,874","5,118,456"
South Dakota,"697,101","703,669","712,801","722,159","730,790","737,925","742,213","744,223","746,058","750,412","755,844","757,972","760,020","763,729","770,396","775,493","783,033","791,623","799,124","807,067","816,068","823,113","832,730","841,120","847,538","852,029","860,557","870,094","875,247","882,486","886,669"
Tennessee,"4,894,492","4,966,587","5,049,742","5,137,584","5,231,438","5,326,936","5,416,643","5,499,233","5,570,045","5,638,706","5,703,719","5,750,789","5,795,918","5,847,812","5,910,809","5,991,057","6,088,766","6,175,727","6,247,411","6,306,019","6,356,388","6,404,657","6,463,610","6,508,290","6,559,452","6,613,679","6,673,101","6,740,060","6,806,981","6,862,615","6,910,858"
Texas,"17,056,755","17,398,005","17,759,738","18,161,612","18,564,062","18,958,751","19,340,342","19,740,317","20,157,531","20,558,220","20,944,499","21,319,622","21,690,325","22,030,931","22,394,023","22,778,123","23,359,580","23,831,983","24,309,039","24,801,761","25,238,386","25,627,909","26,052,403","26,433,846","26,903,208","27,394,564","27,825,975","28,188,852","28,508,309","28,856,455","29,145,517"
Utah,"1,731,223","1,779,780","1,836,799","1,898,404","1,960,446","2,014,177","2,067,976","2,119,784","2,165,960","2,203,482","2,244,502","2,283,715","2,324,815","2,360,137","2,401,580","2,457,719","2,525,507","2,597,746","2,663,029","2,723,421","2,776,212","2,818,798","2,861,360","2,909,190","2,951,948","3,000,449","3,064,277","3,126,779","3,181,595","3,233,028","3,271,601"
Vermont,"564,798","568,606","572,751","577,748","583,836","589,002","593,701","597,239","600,416","604,683","609,618","612,223","615,442","617,858","619,920","621,215","622,892","623,481","624,151","624,817","626,366","629,600","630,693","632,859","633,872","635,912","636,397","639,087","640,680","641,847","643,072"
Virginia,"6,216,884","6,301,217","6,414,307","6,509,630","6,593,139","6,670,693","6,750,884","6,829,183","6,900,918","7,000,174","7,105,817","7,198,362","7,286,873","7,366,977","7,475,575","7,577,105","7,673,725","7,751,000","7,833,496","7,925,937","8,025,105","8,107,953","8,197,400","8,270,221","8,334,206","8,390,494","8,445,270","8,503,046","8,547,370","8,597,508","8,631,410"
Washington,"4,903,043","5,025,624","5,160,757","5,278,842","5,375,161","5,481,027","5,569,753","5,674,747","5,769,562","5,842,564","5,910,512","5,985,722","6,052,349","6,104,115","6,178,645","6,257,305","6,370,753","6,461,587","6,562,231","6,667,426","6,743,680","6,830,840","6,904,658","6,975,001","7,068,971","7,181,417","7,316,788","7,447,469","7,549,002","7,638,923","7,705,305"
West Virginia,"1,792,548","1,798,735","1,806,451","1,817,539","1,820,421","1,823,700","1,822,808","1,819,113","1,815,609","1,811,799","1,807,021","1,801,481","1,805,414","1,812,295","1,816,438","1,820,492","1,827,912","1,834,052","1,840,310","1,847,775","1,854,404","1,857,305","1,858,706","1,856,588","1,852,948","1,846,270","1,835,935","1,822,742","1,810,572","1,800,441","1,793,750"
Wisconsin,"4,904,562","4,964,343","5,025,398","5,084,889","5,133,678","5,184,836","5,229,986","5,266,213","5,297,672","5,332,666","5,373,999","5,406,835","5,445,162","5,479,203","5,514,026","5,546,166","5,577,655","5,610,775","5,640,996","5,669,264","5,692,038","5,713,359","5,734,379","5,757,584","5,778,789","5,794,536","5,812,814","5,836,809","5,859,000","5,880,280","5,893,698"
Wyoming,"453,690","459,260","466,251","473,081","480,283","485,160","488,167","489,451","490,787","491,780","494,300","494,657","500,017","503,453","509,106","514,157","522,667","534,876","546,043","559,851","564,402","566,844","575,491","580,937","580,959","583,671","582,007","576,240","574,783","575,327","576,851"
