"STATION","NAME","DATE","PRCP","SNOW","TAVG"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1997-02","6.75","0.0","51.5"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1997-03","2.26","0.0","61.5"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1997-04","7.78","0.0","59.6"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1997-05","6.82","0.0","69.8"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1997-06","8.45","0.0","77.0"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1997-07","1.15","0.0","82.3"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1997-08","5.03","0.0","79.5"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1997-09","2.69","0.0","76.6"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1997-10","4.26","0.0","65.1"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1997-11","3.53","0.0","50.7"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1997-12","5.77","4.8","44.9"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1998-01","9.52","0.0","49.2"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1998-02","5.51","0.0","49.9"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1998-03","6.17","0.0","55.7"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1998-04","3.68","0.0","62.6"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1998-05","1.47","0.0","74.4"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1998-06","3.26","0.0","82.1"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1998-07","6.45","0.0","83.4"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1998-08","2.03","0.0","82.7"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1998-09","2.41","0.0","80.5"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1998-10","0.51","0.0","68.4"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1998-11","4.31","0.0","58.7"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1998-12","6.25","0.0","51.4"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1999-01","8.47","0.0","51.9"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1999-02","2.04","0.0","53.9"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1999-03","4.65","0.0","54.4"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1999-04","2.09","0.0","69.3"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1999-05","2.67","0.0","71.5"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1999-06","4.35","0.0","79.5"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1999-07","4.41","0.0","82.0"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1999-08","1.71","0.0","84.0"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1999-09","2.48","0.0","75.2"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1999-10","5.74","0.0","65.0"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1999-11","1.88","0.0","55.8"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1999-12","2.76","0.0","48.4"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","2000-01","1.88","0.4","48.8"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","2000-02","1.29","0.0","54.6"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","2000-03","4.41","0.0","60.4"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","2000-04","7.82","0.0","61.8"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","2000-05","2.67","0.0","75.3"
