"STATION","NAME","DATE","PRCP","SNOW","TAVG"
"USW00094847","DETROIT METRO AIRPORT, MI US","2006-02","2.71","3.8","29.8"
"USW00094847","DETROIT METRO AIRPORT, MI US","2006-03","3.21","3.4","38.1"
"USW00094847","DETROIT METRO AIRPORT, MI US","2006-04","2.72","0.0","52.2"
"USW00094847","DETROIT METRO AIRPORT, MI US","2006-05","4.61","0.0","60.7"
"USW00094847","DETROIT METRO AIRPORT, MI US","2006-06","3.95","0.0","69.3"
"USW00094847","DETROIT METRO AIRPORT, MI US","2006-07","4.38","0.0","76.1"
"USW00094847","DETROIT METRO AIRPORT, MI US","2006-08","2.05","0.0","72.9"
"USW00094847","DETROIT METRO AIRPORT, MI US","2006-09","1.74","0.0","62.0"
"USW00094847","DETROIT METRO AIRPORT, MI US","2006-10","4.11","0.2","49.7"
"USW00094847","DETROIT METRO AIRPORT, MI US","2006-11","2.91","0.1","42.5"
"USW00094847","DETROIT METRO AIRPORT, MI US","2006-12","3.66","2.4","37.3"
"USW00094847","DETROIT METRO AIRPORT, MI US","2007-01","3.03","6.4","29.6"
"USW00094847","DETROIT METRO AIRPORT, MI US","2007-02","0.82","14.1","19.3"
"USW00094847","DETROIT METRO AIRPORT, MI US","2007-03","3.10","5.5","40.1"
"USW00094847","DETROIT METRO AIRPORT, MI US","2007-04","2.68","1.6","47.7"
"USW00094847","DETROIT METRO AIRPORT, MI US","2007-05","2.56","0.0","61.7"
"USW00094847","DETROIT METRO AIRPORT, MI US","2007-06","3.10","0.0","71.3"
"USW00094847","DETROIT METRO AIRPORT, MI US","2007-07","2.10","0.0","72.0"
"USW00094847","DETROIT METRO AIRPORT, MI US","2007-08","6.61","0.0","73.8"
"USW00094847","DETROIT METRO AIRPORT, MI US","2007-09","1.45","0.0","66.7"
"USW00094847","DETROIT METRO AIRPORT, MI US","2007-10","2.01","0.0","59.1"
"USW00094847","DETROIT METRO AIRPORT, MI US","2007-11","1.78","0.5","40.0"
"USW00094847","DETROIT METRO AIRPORT, MI US","2007-12","3.48","12.2","29.6"
"USW00094847","DETROIT METRO AIRPORT, MI US","2008-01","2.14","13.9","28.9"
"USW00094847","DETROIT METRO AIRPORT, MI US","2008-02","3.61","24.3","25.2"
"USW00094847","DETROIT METRO AIRPORT, MI US","2008-03","3.18","21.0","33.4"
"USW00094847","DETROIT METRO AIRPORT, MI US","2008-04","0.96","0.0","51.8"
"USW00094847","DETROIT METRO AIRPORT, MI US","2008-05","2.04","0.0","57.4"
"USW00094847","DETROIT METRO AIRPORT, MI US","2008-06","4.05","0.0","70.6"
"USW00094847","DETROIT METRO AIRPORT, MI US","2008-07","3.24","0.0","73.1"
"USW00094847","DETROIT METRO AIRPORT, MI US","2008-08","0.27","0.0","72.1"
"USW00094847","DETROIT METRO AIRPORT, MI US","2008-09","5.99","0.0","66.3"
"USW00094847","DETROIT METRO AIRPORT, MI US","2008-10","1.15","0.0","50.6"
