STATION,NAME,DATE,PRCP,SNOW,TAVG
USW00024130,"BAKER CITY AIRPORT, OR US",2001-11,0.8,,36.6
USW00024130,"BAKER CITY AIRPORT, OR US",2001-12,0.95,,24.3
USW00024130,"BAKER CITY AIRPORT, OR US",2002-01,1.01,,24.5
USW00024130,"BAKER CITY AIRPORT, OR US",2002-02,0.12,,26.7
USW00024130,"BAKER CITY AIRPORT, OR US",2002-03,1.04,,34.5
USW00024130,"BAKER CITY AIRPORT, OR US",2002-04,0.68,,43.1
USW00024130,"BAKER CITY AIRPORT, OR US",2002-05,0.3,,49.5
USW00024130,"BAKER CITY AIRPORT, OR US",2002-06,0.61,,59.6
USW00024130,"BAKER CITY AIRPORT, OR US",2002-07,0.28,,66.9
USW00024130,"BAKER CITY AIRPORT, OR US",2002-08,0.41,,61
USW00024130,"BAKER CITY AIRPORT, OR US",2002-09,0.34,,55.3
USW00024130,"BAKER CITY AIRPORT, OR US",2002-10,0.04,,41.1
USW00024130,"BAKER CITY AIRPORT, OR US",2002-11,0.11,,33.7
USW00024130,"BAKER CITY AIRPORT, OR US",2002-12,0.74,,31.4
USW00024130,"BAKER CITY AIRPORT, OR US",2003-01,0.93,,33.7
USW00024130,"BAKER CITY AIRPORT, OR US",2003-02,0.71,,30.1
USW00024130,"BAKER CITY AIRPORT, OR US",2003-03,1.11,,41.5
USW00024130,"BAKER CITY AIRPORT, OR US",2003-04,1.58,,42.7
USW00024130,"BAKER CITY AIRPORT, OR US",2003-05,3.24,,51.3
USW00024130,"BAKER CITY AIRPORT, OR US",2003-06,0.53,,59.9
USW00024130,"BAKER CITY AIRPORT, OR US",2003-07,0.45,,69.9
USW00024130,"BAKER CITY AIRPORT, OR US",2003-08,1.26,,66.4
USW00024130,"BAKER CITY AIRPORT, OR US",2003-09,0.39,,57.2
USW00024130,"BAKER CITY AIRPORT, OR US",2003-10,0.14,,48.9
USW00024130,"BAKER CITY AIRPORT, OR US",2003-11,0.63,,30.5
USW00024130,"BAKER CITY AIRPORT, OR US",2003-12,1.1,,30.6
USW00024130,"BAKER CITY AIRPORT, OR US",2004-01,1.08,,22.3
USW00024130,"BAKER CITY AIRPORT, OR US",2004-02,0.89,,27.9
USW00024130,"BAKER CITY AIRPORT, OR US",2004-03,0.3,,41.2
USW00024130,"BAKER CITY AIRPORT, OR US",2004-04,0.52,,46.3
USW00024130,"BAKER CITY AIRPORT, OR US",2004-05,1.69,,50.4
USW00024130,"BAKER CITY AIRPORT, OR US",2004-06,0.44,,59
USW00024130,"BAKER CITY AIRPORT, OR US",2004-07,1.03,,66
USW00024130,"BAKER CITY AIRPORT, OR US",2004-08,0.78,,65.5
USW00024130,"BAKER CITY AIRPORT, OR US",2004-09,0.78,,54.2
USW00024130,"BAKER CITY AIRPORT, OR US",2004-10,1.46,,46.1
USW00024130,"BAKER CITY AIRPORT, OR US",2004-11,0.5,,34.6
USW00024130,"BAKER CITY AIRPORT, OR US",2004-12,0.77,,31.3
USW00024130,"BAKER CITY AIRPORT, OR US",2005-01,0.26,,27.6
USW00024130,"BAKER CITY AIRPORT, OR US",2005-02,0.38,,31.7
USW00024130,"BAKER CITY AIRPORT, OR US",2005-03,0.98,,39.2
USW00024130,"BAKER CITY AIRPORT, OR US",2005-04,0.88,,44.1
USW00024130,"BAKER CITY AIRPORT, OR US",2005-05,2.99,,52.1
USW00024130,"BAKER CITY AIRPORT, OR US",2005-06,1.2,,55.2
USW00024130,"BAKER CITY AIRPORT, OR US",2005-07,0.25,,66.3
USW00024130,"BAKER CITY AIRPORT, OR US",2005-08,0.6,,65
USW00024130,"BAKER CITY AIRPORT, OR US",2005-09,0.09,,53.2
USW00024130,"BAKER CITY AIRPORT, OR US",2005-10,1.2,,45.5
USW00024130,"BAKER CITY AIRPORT, OR US",2005-11,1.33,,32.1
USW00024130,"BAKER CITY AIRPORT, OR US",2005-12,1.41,,22.1
USW00024130,"BAKER CITY AIRPORT, OR US",2006-01,0.7,,30.1
USW00024130,"BAKER CITY AIRPORT, OR US",2006-02,0.1,,28.2
USW00024130,"BAKER CITY AIRPORT, OR US",2006-03,1.2,,36.2
USW00024130,"BAKER CITY AIRPORT, OR US",2006-04,1.39,,44.1
USW00024130,"BAKER CITY AIRPORT, OR US",2006-05,1.3,,53.2
USW00024130,"BAKER CITY AIRPORT, OR US",2006-06,1.09,,60.2
USW00024130,"BAKER CITY AIRPORT, OR US",2006-07,0.66,,69.9
USW00024130,"BAKER CITY AIRPORT, OR US",2006-08,0.4,,63.2
USW00024130,"BAKER CITY AIRPORT, OR US",2006-09,0.46,,55.6
USW00024130,"BAKER CITY AIRPORT, OR US",2006-10,0.11,,41.7
USW00024130,"BAKER CITY AIRPORT, OR US",2006-11,0.62,,35.6
USW00024130,"BAKER CITY AIRPORT, OR US",2006-12,0.97,,26.9
USW00024130,"BAKER CITY AIRPORT, OR US",2007-01,0.11,,23.7
USW00024130,"BAKER CITY AIRPORT, OR US",2007-02,0.57,,34.5
USW00024130,"BAKER CITY AIRPORT, OR US",2007-03,0.48,,41.1
USW00024130,"BAKER CITY AIRPORT, OR US",2007-04,0.42,,43.6
USW00024130,"BAKER CITY AIRPORT, OR US",2007-05,0.58,,52.6
USW00024130,"BAKER CITY AIRPORT, OR US",2007-06,1.04,,59.8
USW00024130,"BAKER CITY AIRPORT, OR US",2007-07,0.26,,71.3
USW00024130,"BAKER CITY AIRPORT, OR US",2007-08,0.21,,63.8
USW00024130,"BAKER CITY AIRPORT, OR US",2007-09,0.43,,54.7
USW00024130,"BAKER CITY AIRPORT, OR US",2007-10,0.61,,42.7
USW00024130,"BAKER CITY AIRPORT, OR US",2007-11,1.16,,32
USW00024130,"BAKER CITY AIRPORT, OR US",2007-12,1.25,,24.9
USW00024130,"BAKER CITY AIRPORT, OR US",2008-01,0.5,,20.8
USW00024130,"BAKER CITY AIRPORT, OR US",2008-02,0.38,,27.9
USW00024130,"BAKER CITY AIRPORT, OR US",2008-03,0.63,,33.6
USW00024130,"BAKER CITY AIRPORT, OR US",2008-04,0.55,,38.1
USW00024130,"BAKER CITY AIRPORT, OR US",2008-05,2.15,,51.7
USW00024130,"BAKER CITY AIRPORT, OR US",2008-06,0.94,,56.4
USW00024130,"BAKER CITY AIRPORT, OR US",2008-07,0.15,,64.9
USW00024130,"BAKER CITY AIRPORT, OR US",2008-08,0.27,,64
USW00024130,"BAKER CITY AIRPORT, OR US",2008-09,0.97,,55.3
USW00024130,"BAKER CITY AIRPORT, OR US",2008-10,0.45,,44.8
USW00024130,"BAKER CITY AIRPORT, OR US",2008-11,0.74,,37.1
USW00024130,"BAKER CITY AIRPORT, OR US",2008-12,1.1,,23.1
USW00024130,"BAKER CITY AIRPORT, OR US",2009-01,0.27,,24.5
USW00024130,"BAKER CITY AIRPORT, OR US",2009-02,0.31,,30.3
USW00024130,"BAKER CITY AIRPORT, OR US",2009-03,0.91,,34.2
USW00024130,"BAKER CITY AIRPORT, OR US",2009-04,0.73,,41.9
USW00024130,"BAKER CITY AIRPORT, OR US",2009-05,1.5,,51.6
USW00024130,"BAKER CITY AIRPORT, OR US",2009-06,2.79,,58.7
USW00024130,"BAKER CITY AIRPORT, OR US",2009-07,0.17,,66.8
USW00024130,"BAKER CITY AIRPORT, OR US",2009-08,1.44,,65.1
USW00024130,"BAKER CITY AIRPORT, OR US",2009-09,0.01,,59
USW00024130,"BAKER CITY AIRPORT, OR US",2009-10,1.5,,41.3
USW00024130,"BAKER CITY AIRPORT, OR US",2009-11,0.39,,34
USW00024130,"BAKER CITY AIRPORT, OR US",2009-12,0.42,,21.8
USW00024130,"BAKER CITY AIRPORT, OR US",2010-01,1.2,,32.4
USW00024130,"BAKER CITY AIRPORT, OR US",2010-02,0.4,,33.7
USW00024130,"BAKER CITY AIRPORT, OR US",2010-03,0.81,,37.3
USW00024130,"BAKER CITY AIRPORT, OR US",2010-04,1.83,,41.8
USW00024130,"BAKER CITY AIRPORT, OR US",2010-05,1.76,,46.1
USW00024130,"BAKER CITY AIRPORT, OR US",2010-06,2.2,,56.2
USW00024130,"BAKER CITY AIRPORT, OR US",2010-07,0.27,,63.2
USW00024130,"BAKER CITY AIRPORT, OR US",2010-08,0.38,,61.9
USW00024130,"BAKER CITY AIRPORT, OR US",2010-09,0.4,,56.4
USW00024130,"BAKER CITY AIRPORT, OR US",2010-10,1.25,,47.8
USW00024130,"BAKER CITY AIRPORT, OR US",2010-11,0.73,,31.7
USW00024130,"BAKER CITY AIRPORT, OR US",2010-12,1.66,,28.1
USW00024130,"BAKER CITY AIRPORT, OR US",2011-01,0.77,,23.3
USW00024130,"BAKER CITY AIRPORT, OR US",2011-02,0.65,,29.1
USW00024130,"BAKER CITY AIRPORT, OR US",2011-03,2.07,,36.6
USW00024130,"BAKER CITY AIRPORT, OR US",2011-04,0.76,,38.9
USW00024130,"BAKER CITY AIRPORT, OR US",2011-05,3.25,,47.9
USW00024130,"BAKER CITY AIRPORT, OR US",2011-06,1.01,,54.6
USW00024130,"BAKER CITY AIRPORT, OR US",2011-07,0.47,,62.3
USW00024130,"BAKER CITY AIRPORT, OR US",2011-08,0,,65.2
