,year,month,state,monthly_num_plants,total_facility_age,total_weighted_facility_age,date,yearly_num_plants
360,1997,8,MI,24,288,75908144.0,1997-08,24
361,1997,8,MN,14,154,53370040.5,1997-08,12
362,1997,8,MO,18,444,178289892.0,1997-08,18
363,1997,8,MS,10,152,54053392.0,1997-08,9
364,1997,8,MT,3,24,12955338.0,1997-08,3
365,1997,8,NC,15,120,44953770.0,1997-08,15
366,1997,8,ND,7,56,18721758.0,1997-08,7
367,1997,8,NE,9,72,13221552.0,1997-08,9
368,1997,8,NH,3,72,11634834.0,1997-08,3
369,1997,8,NJ,11,112,11658866.0,1997-08,11
370,1997,8,NM,8,58,24922324.5,1997-08,7
371,1997,8,NV,8,64,16255842.0,1997-08,6
372,1997,8,NY,30,396,88138484.0,1997-08,30
373,1997,8,OH,24,594,312609814.5,1997-08,24
374,1997,8,OK,16,128,38726536.0,1997-08,12
375,1997,8,OR,3,24,5305726.0,1997-08,3
376,1997,8,PA,25,482,211843413.5,1997-08,24
377,1997,8,RI,1,8,1811710.0,1997-08,1
378,1997,8,SC,14,106,26799155.5,1997-08,13
379,1997,8,SD,3,24,2083876.0,1997-08,2
380,1997,8,TN,7,152,132220598.0,1997-08,7
381,1997,8,TX,85,677,219407016.0,1997-08,82
382,1997,8,UT,6,60,26293613.0,1997-08,5
383,1997,8,VA,10,74,25219840.5,1997-08,10
384,1997,8,VT,1,8,96720.0,1997-08,1
385,1997,8,WA,1,8,6138048.0,1997-08,2
386,1997,8,WI,22,413,82171942.25,1997-08,22
387,1997,8,WV,13,308,177581072.0,1997-08,13
388,1997,8,WY,6,96,74082072.0,1997-08,6
389,1997,9,AL,12,192,127562181.0,1997-09,10
390,1997,9,AR,9,81,18387369.0,1997-09,6
391,1997,9,AZ,11,99,35881780.5,1997-09,9
392,1997,9,CA,28,246,50938370.25,1997-09,24
393,1997,9,CO,14,126,25839266.85,1997-09,14
394,1997,9,CT,7,63,9320645.25,1997-09,6
395,1997,9,DE,4,36,4467802.5,1997-09,4
396,1997,9,FL,46,486,147886119.75,1997-09,46
397,1997,9,GA,16,396,219534227.25,1997-09,13
398,1997,9,IA,18,282,36252975.0,1997-09,21
399,1997,9,ID,1,9,312453.0,1997-09,1
400,1997,9,IL,26,546,146826212.25,1997-09,26
401,1997,9,IN,23,543,223493116.5,1997-09,23
402,1997,9,KS,18,210,49233567.0,1997-09,13
403,1997,9,KY,21,477,179166981.75,1997-09,20
404,1997,9,LA,21,189,42556360.5,1997-09,20
405,1997,9,MA,10,150,44066444.25,1997-09,10
406,1997,9,MD,11,195,55571194.5,1997-09,11
407,1997,9,ME,1,9,1450899.0,1997-09,2
408,1997,9,MI,23,303,81737997.0,1997-09,24
409,1997,9,MN,13,159,51800160.0,1997-09,12
410,1997,9,MO,18,462,162995435.25,1997-09,18
411,1997,9,MS,10,162,54307900.5,1997-09,9
412,1997,9,MT,3,27,14302667.25,1997-09,3
413,1997,9,NC,15,135,43950206.25,1997-09,15
414,1997,9,ND,7,63,19187320.5,1997-09,7
415,1997,9,NE,9,81,12054204.0,1997-09,9
416,1997,9,NH,3,75,10820366.25,1997-09,3
417,1997,9,NJ,11,123,9987434.25,1997-09,11
418,1997,9,NM,8,66,22661439.75,1997-09,7
419,1997,9,NV,7,63,18060941.25,1997-09,6
420,1997,9,NY,29,441,75561185.25,1997-09,30
421,1997,9,OH,24,618,323155121.25,1997-09,24
422,1997,9,OK,15,135,39666543.75,1997-09,12
423,1997,9,OR,3,27,5060128.5,1997-09,3
424,1997,9,PA,25,507,200541083.25,1997-09,24
425,1997,9,RI,1,9,2009722.5,1997-09,1
426,1997,9,SC,14,120,26604846.63,1997-09,13
427,1997,9,SD,4,36,2488848.75,1997-09,2
428,1997,9,TN,7,159,125481097.5,1997-09,7
429,1997,9,TX,86,771,223215438.0,1997-09,82
430,1997,9,UT,6,66,28245299.25,1997-09,5
431,1997,9,VA,10,84,22060296.0,1997-09,10
432,1997,9,VT,1,9,83245.5,1997-09,1
433,1997,9,WA,1,9,7367580.0,1997-09,2
434,1997,9,WI,22,435,83326157.25,1997-09,22
435,1997,9,WV,13,321,165468612.0,1997-09,13
436,1997,9,WY,6,102,72705694.5,1997-09,6
437,1997,10,AL,11,194,128797640.5,1997-10,10
438,1997,10,AR,9,90,14446757.5,1997-10,6
439,1997,10,AZ,10,100,35948562.5,1997-10,9
440,1997,10,CA,26,245,33823101.0,1997-10,24
441,1997,10,CO,14,140,28962217.4,1997-10,14
442,1997,10,CT,6,60,9953332.5,1997-10,6
443,1997,10,DE,5,50,4532737.5,1997-10,4
444,1997,10,FL,46,523,135517777.5,1997-10,46
445,1997,10,GA,14,392,211201629.5,1997-10,13
446,1997,10,IA,21,330,43489904.0,1997-10,21
447,1997,10,ID,1,10,65017.5,1997-10,1
448,1997,10,IL,26,572,149465140.5,1997-10,26
449,1997,10,IN,23,566,251841033.0,1997-10,23
450,1997,10,KS,14,188,52262506.0,1997-10,13
451,1997,10,KY,21,498,192441369.0,1997-10,20
452,1997,10,LA,19,190,41355155.0,1997-10,20
453,1997,10,MA,10,160,46201765.0,1997-10,10
454,1997,10,MD,11,206,59577704.0,1997-10,11
