state,date,monthly_num_plants,yearly_num_plants,total_facility_age,total_weighted_facility_age
DE,1997-07,5,4,35,3877965.0
FL,1997-07,47,46,401,130489044.25
GA,1997-07,16,13,364,229174870.25
IA,1997-07,21,21,267,38563074.25
ID,1997-07,1,1,7,23163.0
IL,1997-07,26,26,494,170471026.0
IN,1997-07,23,23,497,240157443.0
KS,1997-07,18,13,174,42639747.25
KY,1997-07,21,20,435,198235914.25
LA,1997-07,21,20,147,42661433.5
MA,1997-07,10,10,130,42850394.0
MD,1997-07,12,11,180,61293531.5
ME,1997-07,1,2,7,1132022.5
MI,1997-07,24,24,264,76206433.75
MN,1997-07,14,12,140,53087062.5
MO,1997-07,18,18,426,178569048.0
MS,1997-07,10,9,142,52388310.75
MT,1997-07,3,3,21,9775510.5
NC,1997-07,15,15,105,43319087.0
ND,1997-07,7,7,49,16808958.25
NE,1997-07,9,9,63,12699755.25
NH,1997-07,3,3,69,10699945.0
NJ,1997-07,11,11,101,13092276.5
NM,1997-07,8,7,50,20154788.25
NV,1997-07,8,6,56,12276519.5
NY,1997-07,31,30,397,91020387.75
OH,1997-07,25,24,601,311933900.25
OK,1997-07,16,12,112,36651872.25
OR,1997-07,3,3,21,1387464.75
PA,1997-07,25,24,457,225531415.75
RI,1997-07,1,1,7,1300344.5
SC,1997-07,13,13,91,25324076.75
SD,1997-07,4,2,28,2325247.75
TN,1997-07,7,7,145,130283179.0
TX,1997-07,86,82,599,195448237.25
UT,1997-07,6,5,54,21792902.5
VA,1997-07,10,10,64,24278455.25
VT,1997-07,1,1,7,90412.0
WA,1997-07,1,2,7,3119291.0
WI,1997-07,22,22,391,84047293.25
WV,1997-07,13,13,295,176397263.75
WY,1997-07,6,6,90,62083188.5
AL,1997-08,12,10,180,120920906.0
AR,1997-08,9,6,72,21521824.0
AZ,1997-08,11,9,88,31441168.0
CA,1997-08,28,24,218,38246839.5
CO,1997-08,14,14,112,25597234.08
CT,1997-08,7,6,56,9685568.0
DC,1997-08,1,0,8,13356.0
DE,1997-08,5,4,40,4974450.0
FL,1997-08,46,46,440,141865000.0
GA,1997-08,16,13,380,229768740.0
IA,1997-08,21,21,288,40244478.0
ID,1997-08,1,1,8,322356.0
IL,1997-08,26,26,520,153343970.0
IN,1997-08,23,23,520,236590024.0
KS,1997-08,17,13,184,52489974.0
KY,1997-08,22,20,464,194873960.0
LA,1997-08,21,20,168,44358730.0
MA,1997-08,10,10,140,44006084.0
MD,1997-08,12,11,192,58583918.0
ME,1997-08,1,2,8,1390576.0
MI,1997-08,24,24,288,75908144.0
MN,1997-08,14,12,154,53370040.5
MO,1997-08,18,18,444,178289892.0
MS,1997-08,10,9,152,54053392.0
MT,1997-08,3,3,24,12955338.0
NC,1997-08,15,15,120,44953770.0
ND,1997-08,7,7,56,18721758.0
NE,1997-08,9,9,72,13221552.0
NH,1997-08,3,3,72,11634834.0
NJ,1997-08,11,11,112,11658866.0
NM,1997-08,8,7,58,24922324.5
NV,1997-08,8,6,64,16255842.0
NY,1997-08,30,30,396,88138484.0
OH,1997-08,24,24,594,312609814.5
OK,1997-08,16,12,128,38726536.0
OR,1997-08,3,3,24,5305726.0
PA,1997-08,25,24,482,211843413.5
RI,1997-08,1,1,8,1811710.0
SC,1997-08,14,13,106,26799155.5
SD,1997-08,3,2,24,2083876.0
TN,1997-08,7,7,152,132220598.0
TX,1997-08,85,82,677,219407016.0
UT,1997-08,6,5,60,26293613.0
VA,1997-08,10,10,74,25219840.5
VT,1997-08,1,1,8,96720.0
WA,1997-08,1,2,8,6138048.0
WI,1997-08,22,22,413,82171942.25
WV,1997-08,13,13,308,177581072.0
WY,1997-08,6,6,96,74082072.0
AL,1997-09,12,10,192,127562181.0
AR,1997-09,9,6,81,18387369.0
AZ,1997-09,11,9,99,35881780.5
CA,1997-09,28,24,246,50938370.25
CO,1997-09,14,14,126,25839266.85
CT,1997-09,7,6,63,9320645.25
DE,1997-09,4,4,36,4467802.5
FL,1997-09,46,46,486,147886119.75
GA,1997-09,16,13,396,219534227.25
IA,1997-09,18,21,282,36252975.0
ID,1997-09,1,1,9,312453.0
IL,1997-09,26,26,546,146826212.25
IN,1997-09,23,23,543,223493116.5
KS,1997-09,18,13,210,49233567.0
KY,1997-09,21,20,477,179166981.75
LA,1997-09,21,20,189,42556360.5
MA,1997-09,10,10,150,44066444.25
MD,1997-09,11,11,195,55571194.5
ME,1997-09,1,2,9,1450899.0
MI,1997-09,23,24,303,81737997.0
MN,1997-09,13,12,159,51800160.0
MO,1997-09,18,18,462,162995435.25
MS,1997-09,10,9,162,54307900.5
MT,1997-09,3,3,27,14302667.25
NC,1997-09,15,15,135,43950206.25
ND,1997-09,7,7,63,19187320.5
NE,1997-09,9,9,81,12054204.0
NH,1997-09,3,3,75,10820366.25
NJ,1997-09,11,11,123,9987434.25
NM,1997-09,8,7,66,22661439.75
NV,1997-09,7,6,63,18060941.25
NY,1997-09,29,30,441,75561185.25
OH,1997-09,24,24,618,323155121.25
OK,1997-09,15,12,135,39666543.75
OR,1997-09,3,3,27,5060128.5
PA,1997-09,25,24,507,200541083.25
RI,1997-09,1,1,9,2009722.5
SC,1997-09,14,13,120,26604846.63
SD,1997-09,4,2,36,2488848.75
TN,1997-09,7,7,159,125481097.5
TX,1997-09,86,82,771,223215438.0
UT,1997-09,6,5,66,28245299.25
VA,1997-09,10,10,84,22060296.0
VT,1997-09,1,1,9,83245.5
WA,1997-09,1,2,9,7367580.0
WI,1997-09,22,22,435,83326157.25
WV,1997-09,13,13,321,165468612.0
WY,1997-09,6,6,102,72705694.5
AL,1997-10,11,10,194,128797640.5
AR,1997-10,9,6,90,14446757.5
AZ,1997-10,10,9,100,35948562.5
CA,1997-10,26,24,245,33823101.0
CO,1997-10,14,14,140,28962217.4
CT,1997-10,6,6,60,9953332.5
DE,1997-10,5,4,50,4532737.5
FL,1997-10,46,46,523,135517777.5
GA,1997-10,14,13,392,211201629.5
IA,1997-10,21,21,330,43489904.0
ID,1997-10,1,1,10,65017.5
IL,1997-10,26,26,572,149465140.5
IN,1997-10,23,23,566,251841033.0
KS,1997-10,14,13,188,52262506.0
KY,1997-10,21,20,498,192441369.0
LA,1997-10,19,20,190,41355155.0
MA,1997-10,10,10,160,46201765.0
MD,1997-10,11,11,206,59577704.0
ME,1997-10,1,2,10,876482.5
MI,1997-10,21,24,306,101244745.0
MN,1997-10,13,12,172,58081195.5
MO,1997-10,16,18,460,165015186.0
MS,1997-10,9,9,162,43313860.0
MT,1997-10,2,3,20,16668800.0
NC,1997-10,15,15,150,54296907.5
ND,1997-10,7,7,70,23794655.0
NE,1997-10,7,9,70,12525277.5
NH,1997-10,3,3,78,12308286.5
NJ,1997-10,10,11,124,12092998.0
NM,1997-10,8,7,74,23032647.0
NV,1997-10,7,6,70,18928387.5
NY,1997-10,31,30,490,81374877.0
OH,1997-10,23,24,638,366594574.0
OK,1997-10,15,12,150,39053110.0
OR,1997-10,3,3,30,2910855.0
PA,1997-10,23,24,512,219761893.5
RI,1997-10,1,1,10,2369807.5
SC,1997-10,14,13,134,32272916.5
SD,1997-10,3,2,30,2415945.0
TN,1997-10,7,7,166,146278577.5
TX,1997-10,85,82,838,199645351.0
UT,1997-10,6,5,72,29090078.0
VA,1997-10,10,10,94,28287810.5
VT,1997-10,1,1,10,238012.5
WA,1997-10,2,2,11,5085220.5
WI,1997-10,21,22,447,88980330.75
WV,1997-10,13,13,334,172358418.0
WY,1997-10,6,6,108,74836524.5
AL,1997-11,10,10,194,120121903.0
AR,1997-11,8,6,88,17875280.5
AZ,1997-11,8,9,88,34742411.0
CA,1997-11,28,24,293,23863301.75
CO,1997-11,14,14,154,33635520.49
CT,1997-11,6,6,66,10447164.75
DE,1997-11,4,4,44,5006793.0
FL,1997-11,45,46,558,128061517.25
GA,1997-11,13,13,395,179267498.25
IA,1997-11,21,21,351,39698171.5
ID,1997-11,1,1,11,45705.0
IL,1997-11,26,26,598,170654075.75
IN,1997-11,23,23,589,261464053.75
KS,1997-11,14,13,202,47336610.0
KY,1997-11,22,20,530,190919580.25
LA,1997-11,20,20,220,37648707.25
MA,1997-11,10,10,170,50772229.25
MD,1997-11,11,11,217,56265625.5
ME,1997-11,1,2,11,2433758.25
MI,1997-11,24,24,360,89725870.5
MN,1997-11,12,12,174,67244683.25
MO,1997-11,16,18,476,170331728.25
MS,1997-11,9,9,171,44009698.75
MT,1997-11,3,3,33,15981806.5
NC,1997-11,15,15,165,57390564.0
ND,1997-11,7,7,77,25947097.0
NE,1997-11,9,9,99,15020269.0
NH,1997-11,3,3,81,13441252.5
NJ,1997-11,10,11,134,10962480.75
NM,1997-11,8,7,82,28703475.75
NV,1997-11,5,6,55,21653962.0
NY,1997-11,30,30,510,85540919.5
OH,1997-11,24,24,672,342817177.75
OK,1997-11,14,12,154,35259746.5
OR,1997-11,3,3,33,6939979.75
PA,1997-11,23,24,535,219333527.25
