state,date,monthly_renew_pct,monthly_fossil_pct,monthly_coal_pct,yearly_renew_pct,yearly_fossil_pct,yearly_coal_pct
VA,2021-03,0.03682238539028999,0.6384027108067596,0.03610330494004308,0.04945327242243543,0.6119131841909378,0.03475113583188856
VA,2021-04,0.038136082589408205,0.6356476218860362,0.035962670258916085,0.04945327242243543,0.6119131841909378,0.03475113583188856
VA,2021-05,0.03947094825219464,0.6328481384124734,0.03581976943903206,0.04945327242243543,0.6119131841909378,0.03475113583188856
VA,2021-06,0.040827498186409635,0.630003178632798,0.03567454726183688,0.04945327242243543,0.6119131841909378,0.03475113583188856
VA,2021-07,0.04220626509515601,0.627111625360783,0.03552694670008633,0.04945327242243543,0.6119131841909378,0.03475113583188856
VA,2021-08,0.04360779927435163,0.6241723245145081,0.035376908843179844,0.04945327242243543,0.6119131841909378,0.03475113583188856
VA,2021-09,0.04503266934504124,0.621184083580553,0.03522437281876468,0.04945327242243543,0.6119131841909378,0.03475113583188856
VA,2021-10,0.04648146302259493,0.618145670000832,0.035069275710391215,0.04945327242243543,0.6119131841909378,0.03475113583188856
VA,2021-11,0.047954787924979085,0.615055809477487,0.03491155247098542,0.04945327242243543,0.6119131841909378,0.03475113583188856
VA,2021-12,0.04945327242243543,0.6119131841909378,0.034751135831888554,0.04945327242243543,0.6119131841909378,0.03475113583188856
VA,2022-01,0.05069571502285528,0.6101664161386641,0.03496284418172607,0.06497367908573486,0.590092819605414,0.037395764792923794
VA,2022-02,0.05194708403505903,0.6084070983147386,0.0351760735643325,0.06497367908573486,0.590092819605414,0.037395764792923794
VA,2022-03,0.05320747600446702,0.6066350949845565,0.035390840430746806,0.06497367908573486,0.590092819605414,0.037395764792923794
VA,2022-04,0.0544769888738127,0.6048502684490095,0.035607161470105765,0.06497367908573486,0.590092819605414,0.037395764792923794
VA,2022-05,0.05575572200851378,0.6030524790088173,0.03582505361396709,0.06497367908573486,0.590092819605414,0.037395764792923794
VA,2022-06,0.0570437762225982,0.6012415849280777,0.03604453404072718,0.06497367908573486,0.590092819605414,0.037395764792923794
VA,2022-07,0.05834125380519912,0.5994174423970161,0.03626562018013578,0.06497367908573486,0.590092819605414,0.037395764792923794
