state,date,republican_vote_pct
NM,1994-12-01,15.33
NV,1994-12-01,6.83
NY,1994-12-01,3.57
OH,1994-12-01,13.36
OK,1994-12-01,18.4
PA,1994-12-01,9.88
RI,1994-12-01,32.26
TN,1994-12-01,7.31
TX,1994-12-01,20.28
UT,1994-12-01,11.47
VA,1994-12-01,8.58
VT,1994-12-01,6.29
WA,1994-12-01,27.87
WI,1994-12-01,10.17
WV,1994-12-01,15.49
WY,1994-12-01,19.62
AK,1996-12-01,19.18
AL,1996-12-01,10.49
AR,1996-12-01,26.35
CO,1996-12-01,12.85
DE,1996-12-01,9.53
GA,1996-12-01,15.85
IA,1996-12-01,6.67
ID,1996-12-01,14.26
IL,1996-12-01,5.81
KS,1996-12-01,16.57
KY,1996-12-01,9.24
LA,1996-12-01,24.91
MA,1996-12-01,8.94
ME,1996-12-01,9.84
MI,1996-12-01,5.7
MN,1996-12-01,4.59
MS,1996-12-01,23.68
MT,1996-12-01,11.17
NC,1996-12-01,10.53
NE,1996-12-01,28.7
NH,1996-12-01,16.42
NJ,1996-12-01,4.73
NM,1996-12-01,16.18
OK,1996-12-01,11.34
OR,1996-12-01,6.22
RI,1996-12-01,11.65
SC,1996-12-01,10.68
SD,1996-12-01,24.34
TN,1996-12-01,7.67
TX,1996-12-01,13.69
VA,1996-12-01,17.49
WV,1996-12-01,11.68
WY,1996-12-01,13.52
AK,1998-12-01,14.9
AL,1998-12-01,21.08
AR,1998-12-01,10.55
AZ,1998-12-01,13.75
CA,1998-12-01,6.14
CO,1998-12-01,8.93
CT,1998-12-01,6.47
FL,1998-12-01,18.77
GA,1998-12-01,13.09
HI,1998-12-01,5.94
IA,1998-12-01,13.68
ID,1998-12-01,23.18
IL,1998-12-01,12.59
IN,1998-12-01,11.6
KS,1998-12-01,16.32
KY,1998-12-01,16.58
LA,1998-12-01,4.06
MD,1998-12-01,14.75
MO,1998-12-01,10.54
NC,1998-12-01,15.67
ND,1998-12-01,11.72
NH,1998-12-01,16.96
NV,1998-12-01,9.55
NY,1998-12-01,3.06
OH,1998-12-01,18.82
OK,1998-12-01,16.6
OR,1998-12-01,4.83
PA,1998-12-01,15.34
SC,1998-12-01,11.42
SD,1998-12-01,12.14
