,state,date,total_co2
246,AL,2010-07-01,8803007.621
247,AL,2010-08-01,8288925.904999999
248,AL,2010-09-01,7120857.8
249,AL,2010-10-01,5995722.6049999995
250,AL,2010-11-01,5873101.451
251,AL,2010-12-01,7147269.782
252,AL,2011-01-01,7727515.742
253,AL,2011-02-01,6418902.184
254,AL,2011-03-01,6440696.858999999
255,AL,2011-04-01,5271426.509000001
256,AL,2011-05-01,7084053.964
257,AL,2011-06-01,8592682.348
258,AL,2011-07-01,9259355.846
259,AL,2011-08-01,9137519.813
260,AL,2011-09-01,6401589.062
261,AL,2011-10-01,6238039.308999999
262,AL,2011-11-01,5946977.8780000005
263,AL,2011-12-01,5896700.903
264,AL,2012-01-01,5536228.913000001
265,AL,2012-02-01,4764995.1790000005
266,AL,2012-03-01,4923039.03
267,AL,2012-04-01,5220031.149
268,AL,2012-05-01,6253502.9690000005
269,AL,2012-06-01,7405922.274
270,AL,2012-07-01,8866398.609
271,AL,2012-08-01,8194157.993
272,AL,2012-09-01,6586484.314
273,AL,2012-10-01,5736819.61
274,AL,2012-11-01,6149281.242
275,AL,2012-12-01,6247130.055
276,AL,2013-01-01,5713028.505
277,AL,2013-02-01,5479073.586
278,AL,2013-03-01,5930992.653
279,AL,2013-04-01,5577084.404999999
280,AL,2013-05-01,5904413.124
281,AL,2013-06-01,6726725.61
282,AL,2013-07-01,6786001.96
283,AL,2013-08-01,7427615.549000001
284,AL,2013-09-01,6642431.395
285,AL,2013-10-01,6267898.295
286,AL,2013-11-01,5779443.077
287,AL,2013-12-01,5927471.712
288,AL,2014-01-01,6933679.686
289,AL,2014-02-01,5856417.271
290,AL,2014-03-01,5620680.660999999
291,AL,2014-04-01,4857422.791
292,AL,2014-05-01,6438702.603
293,AL,2014-06-01,7123956.321
294,AL,2014-07-01,7643910.826
295,AL,2014-08-01,7742951.607
296,AL,2014-09-01,6429798.378
297,AL,2014-10-01,5388896.407
298,AL,2014-11-01,5410254.675
299,AL,2014-12-01,5708401.612
300,AL,2015-01-01,5930309.056
301,AL,2015-02-01,5806813.086
302,AL,2015-03-01,5039597.088
303,AL,2015-04-01,4537904.571
304,AL,2015-05-01,6291059.667
305,AL,2015-06-01,7418880.477
306,AL,2015-07-01,8048286.837
307,AL,2015-08-01,7500375.153
308,AL,2015-09-01,6762482.694
309,AL,2015-10-01,5551253.879
310,AL,2015-11-01,4996810.257
311,AL,2015-12-01,5060597.3889999995
312,AL,2016-01-01,5028021.021
313,AL,2016-02-01,4513099.593
314,AL,2016-03-01,4692930.558
315,AL,2016-04-01,3876384.954
316,AL,2016-05-01,4847922.473999999
317,AL,2016-06-01,5953594.26
318,AL,2016-07-01,7173735.736
319,AL,2016-08-01,7066029.706
320,AL,2016-09-01,6491325.355
321,AL,2016-10-01,5575244.833
322,AL,2016-11-01,5024612.0540000005
323,AL,2016-12-01,5260627.131
324,AL,2017-01-01,4561836.9860000005
325,AL,2017-02-01,4425687.771
326,AL,2017-03-01,4963766.203000001
327,AL,2017-04-01,4591517.666
328,AL,2017-05-01,5069670.726
329,AL,2017-06-01,5424402.204
330,AL,2017-07-01,6977361.335
331,AL,2017-08-01,6242861.738
332,AL,2017-09-01,4606486.1
333,AL,2017-10-01,4708842.227
334,AL,2017-11-01,4228819.195
335,AL,2017-12-01,5082328.873
336,AL,2018-01-01,6475094.981
337,AL,2018-02-01,4218371.7190000005
338,AL,2018-03-01,4522072.882
339,AL,2018-04-01,4503895.645
340,AL,2018-05-01,5211844.665
341,AL,2018-06-01,6085882.923
342,AL,2018-07-01,6695740.041
343,AL,2018-08-01,6269787.735
344,AL,2018-09-01,5559824.075
345,AL,2018-10-01,4557578.0
346,AL,2018-11-01,3911509.155
347,AL,2018-12-01,4159329.3559999997
348,AL,2019-01-01,5107773.453
349,AL,2019-02-01,4187464.5250000004
350,AL,2019-03-01,4244622.979
351,AL,2019-04-01,3491049.055
352,AL,2019-05-01,4491864.412
353,AL,2019-06-01,4962445.298
354,AL,2019-07-01,5558444.909
355,AL,2019-08-01,5738466.351
356,AL,2019-09-01,5431474.507
357,AL,2019-10-01,4748005.266
358,AL,2019-11-01,4377661.1620000005
359,AL,2019-12-01,3956482.963
360,AL,2020-01-01,4187975.178
361,AL,2020-02-01,3345148.443
362,AL,2020-03-01,3572674.5949999997
363,AL,2020-04-01,2409853.445
364,AL,2020-05-01,3212924.497
365,AL,2020-06-01,4874218.2809999995
366,AL,2020-07-01,5750104.08
367,AL,2020-08-01,5470415.698
368,AL,2020-09-01,4844756.793
369,AL,2020-10-01,4103131.411
370,AL,2020-11-01,3598664.926
371,AL,2020-12-01,4207355.762
372,AL,2021-01-01,4472856.972
373,AL,2021-02-01,4450571.127
374,AL,2021-03-01,4219392.829
375,AL,2021-04-01,3290861.8619999997
376,AL,2021-05-01,3909034.0889999997
377,AL,2021-06-01,4508979.491
378,AL,2021-07-01,5707891.832
379,AL,2021-08-01,5848749.443
380,AL,2021-09-01,4638229.232
381,AL,2021-10-01,4118573.517
382,AL,2021-11-01,4661293.598
383,AL,2021-12-01,4381195.341
384,AL,2022-01-01,4953546.982
385,AL,2022-02-01,4263569.125
386,AL,2022-03-01,3947311.7970000003
387,AL,2022-04-01,3652702.46
388,AL,2022-05-01,4971257.586
389,AL,2022-06-01,5534678.724
390,AL,2022-07-01,6075815.1219999995
391,AL,2022-08-01,5564413.31
392,AL,2022-09-01,4953317.831
393,AL,2022-10-01,4480792.6559999995
394,AL,2022-11-01,4269258.8780000005
395,AL,2022-12-01,4852636.624
396,AL,2023-01-01,3996243.706
397,AL,2023-02-01,3335200.74
398,AL,2023-03-01,3790884.423
399,AL,2023-04-01,3381350.383
400,AL,2023-05-01,3784209.8269999996
401,AL,2023-06-01,4862380.858
402,AL,2023-07-01,5681498.436
403,AL,2023-08-01,5508103.32
404,AL,2023-09-01,4191059.584
405,AL,2023-10-01,3428615.793
406,AL,2023-11-01,3951011.3030000003
407,AL,2023-12-01,3740044.585
408,AL,2024-01-01,4572058.856
409,AL,2024-02-01,3303017.913
410,AL,2024-03-01,3427211.4159999997
411,AL,2024-04-01,3826385.171
412,AL,2024-05-01,4237008.979
413,AL,2024-06-01,5038696.005
414,AL,2024-07-01,5457622.999
415,AL,2024-08-01,5299416.802
416,AL,2024-09-01,4394505.5030000005
417,AL,2024-10-01,4041930.347
418,AL,2024-11-01,3776156.21
419,AL,2024-12-01,4309397.244
420,AR,1990-01-01,1924445.995020587
421,AR,1990-02-01,1573723.24053305
422,AR,1990-03-01,1425006.453128241
423,AR,1990-04-01,1303140.520651984
424,AR,1990-05-01,1624187.4364621222
425,AR,1990-06-01,2060779.075154555
426,AR,1990-07-01,2332052.6013932237
427,AR,1990-08-01,2343440.6073995703
428,AR,1990-09-01,1979452.6046348875
429,AR,1990-10-01,1634853.510311667
430,AR,1990-11-01,1509968.804114642
431,AR,1990-12-01,1763217.1511954693
432,AR,1991-01-01,1924409.7900061957
433,AR,1991-02-01,1573693.633740903
434,AR,1991-03-01,1424979.6441768457
435,AR,1991-04-01,1303116.004390459
436,AR,1991-05-01,1624156.880276257
437,AR,1991-06-01,2060740.305276748
438,AR,1991-07-01,2332008.7279885067
439,AR,1991-08-01,2343396.519749859
440,AR,1991-09-01,1979415.3647693763
441,AR,1991-10-01,1634822.7534626718
442,AR,1991-11-01,1509940.3967483528
443,AR,1991-12-01,1763183.9794138244
444,AR,1992-01-01,1958434.70690988
445,AR,1992-02-01,1601517.642638571
446,AR,1992-03-01,1450174.2852737417
447,AR,1992-04-01,1326156.010731886
448,AR,1992-05-01,1652873.1148209632
449,AR,1992-06-01,2097175.641456829
