state,date,monthly_energy_prod,monthly_energy_use,yearly_energy_prod,yearly_energy_use,monthly_energy_flow,yearly_energy_flow
NC,1962-09,7312.5,71800.16666666666,88160,871813,-64487.66666666666,-783653
NC,1962-10,7323.888888888889,72083.80555555555,88160,871813,-64759.91666666666,-783653
NC,1962-11,7335.277777777778,72367.44444444444,88160,871813,-65032.16666666666,-783653
NC,1962-12,7346.666666666667,72651.08333333333,88160,871813,-65304.416666666664,-783653
NC,1963-01,7329.118055555556,72846.01388888889,85633,899883,-65516.895833333336,-814250
NC,1963-02,7311.569444444444,73040.94444444444,85633,899883,-65729.375,-814250
NC,1963-03,7294.020833333334,73235.875,85633,899883,-65941.85416666667,-814250
NC,1963-04,7276.472222222223,73430.80555555555,85633,899883,-66154.33333333333,-814250
NC,1963-05,7258.923611111111,73625.73611111111,85633,899883,-66366.8125,-814250
NC,1963-06,7241.375,73820.66666666666,85633,899883,-66579.29166666666,-814250
NC,1963-07,7223.826388888889,74015.59722222222,85633,899883,-66791.77083333333,-814250
NC,1963-08,7206.277777777777,74210.52777777778,85633,899883,-67004.25,-814250
NC,1963-09,7188.729166666666,74405.45833333333,85633,899883,-67216.72916666666,-814250
NC,1963-10,7171.180555555556,74600.38888888889,85633,899883,-67429.20833333333,-814250
NC,1963-11,7153.631944444444,74795.31944444444,85633,899883,-67641.6875,-814250
NC,1963-12,7136.083333333333,74990.25,85633,899883,-67854.16666666667,-814250
NC,1964-01,7163.076388888889,75221.84722222222,89520,933233,-68058.77083333333,-843713
NC,1964-02,7190.069444444444,75453.44444444444,89520,933233,-68263.375,-843713
NC,1964-03,7217.0625,75685.04166666667,89520,933233,-68467.97916666667,-843713
NC,1964-04,7244.055555555556,75916.63888888889,89520,933233,-68672.58333333333,-843713
NC,1964-05,7271.048611111111,76148.23611111111,89520,933233,-68877.1875,-843713
NC,1964-06,7298.041666666666,76379.83333333334,89520,933233,-69081.79166666667,-843713
NC,1964-07,7325.034722222222,76611.43055555556,89520,933233,-69286.39583333334,-843713
NC,1964-08,7352.027777777777,76843.02777777778,89520,933233,-69491.0,-843713
NC,1964-09,7379.020833333333,77074.625,89520,933233,-69695.60416666667,-843713
NC,1964-10,7406.013888888889,77306.22222222222,89520,933233,-69900.20833333333,-843713
NC,1964-11,7433.006944444444,77537.81944444445,89520,933233,-70104.81250000001,-843713
NC,1964-12,7460.0,77769.41666666667,89520,933233,-70309.41666666667,-843713
NC,1965-01,7433.395833333333,77988.60416666667,85689,964796,-70555.20833333334,-879107
NC,1965-02,7406.791666666667,78207.79166666667,85689,964796,-70801.0,-879107
NC,1965-03,7380.1875,78426.97916666667,85689,964796,-71046.79166666667,-879107
NC,1965-04,7353.583333333333,78646.16666666667,85689,964796,-71292.58333333334,-879107
NC,1965-05,7326.979166666667,78865.35416666667,85689,964796,-71538.375,-879107
NC,1965-06,7300.375,79084.54166666667,85689,964796,-71784.16666666667,-879107
NC,1965-07,7273.770833333333,79303.72916666667,85689,964796,-72029.95833333334,-879107
NC,1965-08,7247.166666666667,79522.91666666667,85689,964796,-72275.75,-879107
NC,1965-09,7220.5625,79742.10416666667,85689,964796,-72521.54166666667,-879107
NC,1965-10,7193.958333333333,79961.29166666667,85689,964796,-72767.33333333334,-879107
NC,1965-11,7167.354166666667,80180.47916666667,85689,964796,-73013.125,-879107
NC,1965-12,7140.75,80399.66666666667,85689,964796,-73258.91666666667,-879107
NC,1966-01,7126.736111111111,81016.09027777778,83671,1053561,-73889.35416666667,-969890
NC,1966-02,7112.722222222223,81632.51388888889,83671,1053561,-74519.79166666667,-969890
NC,1966-03,7098.708333333333,82248.9375,83671,1053561,-75150.22916666667,-969890
NC,1966-04,7084.694444444444,82865.36111111111,83671,1053561,-75780.66666666667,-969890
NC,1966-05,7070.680555555556,83481.78472222222,83671,1053561,-76411.10416666666,-969890
NC,1966-06,7056.666666666666,84098.20833333334,83671,1053561,-77041.54166666667,-969890
NC,1966-07,7042.652777777777,84714.63194444445,83671,1053561,-77671.97916666667,-969890
NC,1966-08,7028.638888888889,85331.05555555556,83671,1053561,-78302.41666666667,-969890
NC,1966-09,7014.625,85947.47916666667,83671,1053561,-78932.85416666667,-969890
NC,1966-10,7000.611111111111,86563.90277777778,83671,1053561,-79563.29166666667,-969890
NC,1966-11,6986.597222222222,87180.32638888889,83671,1053561,-80193.72916666667,-969890
NC,1966-12,6972.583333333333,87796.75,83671,1053561,-80824.16666666667,-969890
NC,1967-01,6969.770833333333,88087.11111111111,83266,1095373,-81117.34027777778,-1012107
NC,1967-02,6966.958333333333,88377.47222222222,83266,1095373,-81410.51388888889,-1012107
NC,1967-03,6964.145833333333,88667.83333333333,83266,1095373,-81703.6875,-1012107
NC,1967-04,6961.333333333333,88958.19444444444,83266,1095373,-81996.86111111111,-1012107
NC,1967-05,6958.520833333333,89248.55555555555,83266,1095373,-82290.03472222222,-1012107
NC,1967-06,6955.708333333333,89538.91666666666,83266,1095373,-82583.20833333333,-1012107
NC,1967-07,6952.895833333333,89829.27777777778,83266,1095373,-82876.38194444445,-1012107
NC,1967-08,6950.083333333333,90119.63888888889,83266,1095373,-83169.55555555556,-1012107
NC,1967-09,6947.270833333333,90410.0,83266,1095373,-83462.72916666667,-1012107
NC,1967-10,6944.458333333333,90700.36111111111,83266,1095373,-83755.90277777778,-1012107
NC,1967-11,6941.645833333333,90990.72222222222,83266,1095373,-84049.07638888889,-1012107
NC,1967-12,6938.833333333333,91281.08333333333,83266,1095373,-84342.25,-1012107
NC,1968-01,6945.0,91779.90972222222,84154,1167204,-84834.90972222222,-1083050
NC,1968-02,6951.166666666666,92278.73611111111,84154,1167204,-85327.56944444444,-1083050
NC,1968-03,6957.333333333333,92777.5625,84154,1167204,-85820.22916666667,-1083050
NC,1968-04,6963.5,93276.38888888889,84154,1167204,-86312.88888888889,-1083050
NC,1968-05,6969.666666666666,93775.21527777778,84154,1167204,-86805.54861111111,-1083050
NC,1968-06,6975.833333333333,94274.04166666666,84154,1167204,-87298.20833333333,-1083050
NC,1968-07,6982.0,94772.86805555555,84154,1167204,-87790.86805555555,-1083050
NC,1968-08,6988.166666666666,95271.69444444444,84154,1167204,-88283.52777777777,-1083050
NC,1968-09,6994.333333333333,95770.52083333333,84154,1167204,-88776.1875,-1083050
NC,1968-10,7000.5,96269.34722222222,84154,1167204,-89268.84722222222,-1083050
NC,1968-11,7006.666666666666,96768.17361111111,84154,1167204,-89761.50694444444,-1083050
NC,1968-12,7012.833333333333,97267.0,84154,1167204,-90254.16666666667,-1083050
NC,1969-01,7016.173611111111,97708.05555555556,84635,1230716,-90691.88194444445,-1146081
NC,1969-02,7019.513888888889,98149.11111111111,84635,1230716,-91129.59722222222,-1146081
NC,1969-03,7022.854166666666,98590.16666666667,84635,1230716,-91567.3125,-1146081
NC,1969-04,7026.194444444444,99031.22222222222,84635,1230716,-92005.02777777778,-1146081
NC,1969-05,7029.534722222223,99472.27777777778,84635,1230716,-92442.74305555556,-1146081
NC,1969-06,7032.875,99913.33333333334,84635,1230716,-92880.45833333334,-1146081
NC,1969-07,7036.215277777777,100354.38888888889,84635,1230716,-93318.17361111111,-1146081
NC,1969-08,7039.555555555556,100795.44444444445,84635,1230716,-93755.88888888889,-1146081
NC,1969-09,7042.895833333334,101236.5,84635,1230716,-94193.60416666667,-1146081
NC,1969-10,7046.236111111111,101677.55555555556,84635,1230716,-94631.31944444445,-1146081
NC,1969-11,7049.576388888889,102118.61111111111,84635,1230716,-95069.03472222222,-1146081
NC,1969-12,7052.916666666667,102559.66666666667,84635,1230716,-95506.75,-1146081
NC,1970-01,7026.4375,102981.22916666667,80822,1291421,-95954.79166666667,-1210599
NC,1970-02,6999.958333333334,103402.79166666667,80822,1291421,-96402.83333333334,-1210599
NC,1970-03,6973.479166666667,103824.35416666667,80822,1291421,-96850.875,-1210599
NC,1970-04,6947.0,104245.91666666667,80822,1291421,-97298.91666666667,-1210599
NC,1970-05,6920.520833333334,104667.47916666667,80822,1291421,-97746.95833333334,-1210599
NC,1970-06,6894.041666666667,105089.04166666667,80822,1291421,-98195.0,-1210599
NC,1970-07,6867.5625,105510.60416666667,80822,1291421,-98643.04166666667,-1210599
NC,1970-08,6841.083333333334,105932.16666666667,80822,1291421,-99091.08333333334,-1210599
NC,1970-09,6814.604166666667,106353.72916666667,80822,1291421,-99539.125,-1210599
NC,1970-10,6788.125,106775.29166666667,80822,1291421,-99987.16666666667,-1210599
